ItemName,Time,Comment,Score,Assess
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-17,包装太让我失望了，连个包装盒都没有，奶粉桶凹进去很严重,3,中评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-17,不好，宝宝都不喜欢喝，二阶段的宝宝就喝，这个浪费了，,3,中评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-16,买时199第二天就降价，太吭人了！！,3,中评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-14,不行，这个奶粉吃了宝宝拉粑粑都拉不出来,2,中评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-14,奶粉不好，宝宝拉粑粑都拉不出来,2,中评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-14,为什么没有qs标志？以前购买的有，而且购买时明确标注有qs标志，为什么现在购买的产品没有？京东能帮忙解释一下吗？,3,中评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-14,为什么没有qs标志？以前购买的有，而且购买时明确标注有qs标志，为什么现在购买的产品没有？京东能帮忙解释一下吗？,3,中评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-13,买了一箱啥也没送、就送了几个勺子?,3,中评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-24,这罐为什么不能积分，是不是要问题，，，，,3,中评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-23,包装真心不好，就一个纸壳，罐都瘪了,3,中评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-22,官方客服说送玩具，说好的玩具没见影。骗人,3,中评
