ItemName,Time,Comment,Score,Assess
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-24,竟然直接塑料带一装，连个箱子都没有。呵呵哒，还京东自营。,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-24,我家孩子1岁5个月，吃了过敏，脸上身上起红疙瘩,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-23,包装很差，，，服务乜不怎么样&hellip;&hellip;,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-21,应该发三个白勺子，居然发了一个白的，三个蓝色的勺，蓝色勺比白色勺多了一倍，亏我仔细对比了一下，否则直接拿回老家，老人冲奶粉又不会看勺子，直接按蓝勺子的样子给孩子喂奶，岂不是要出事!打客服电话，不了了之。。。很不负责任的客服,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-17,京东太会气人 买的时候谈价格少点优惠点都不行 一拍过又降价了 合不合道理 ???,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-16,差评差评    刚刚买完就降价,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-10,物流很给力，但是不知道为啥买了好几次了，每次都不给小勺,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-07,为什么每次买的奶粉都没有发票？我都是要求开普通发票的,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-07,快递包装破损，6罐奶粉都有磕碰，连个保护的塑料充气垫也不舍的用，差评！,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2018-01-01,快递众包送货特别慢，家里又刚好没奶粉小孩闹了一个小时，本来以为下午就到，没想到晚上八点半多才送到,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-29,放弃贝因美了，奶粉不真，宝宝吃了几个月没长,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-28,包装用的二次包装，真是无语，用了一个自己用过的快递盒子邮过来的，差评，差评，差评,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-27,从来没有喝过这个味道的奶粉，有股奶糖的味道，不知道是真的还是假的，还在犹豫是否退货,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-26,奶粉本身没问题，差评是因为我拍单的时候没货，赠品勺子要取消才能下单，点赠品勺子下不了单，不是我不拍勺子，没想到你们真的不放勺子，难道是要我要手抓吗？这点你们都想不到是吗？没有勺子冲奶粉怎么计量呢？,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-24,以前从来没有过   也不知道奶粉问题还是宝宝肠胃问题    只要吃一次奶就吐一次   吃一次吐一次   吃其他东西都好好的    唉   带他去医院看了   千万奶粉不能假啊！,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-24,买奶粉的奶爸奶妈这家店奶粉有可能是假货重量严重不足有图有真相今早打开时为了宝宝健康,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-24,无填充气泡袋，奶粉罐体有变形，盖子和勺子脏污。,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-20,我的外甥女吃了这个奶粉就又是拉稀又是吐的，不知道是不是假货，我家人说是奶粉的问题我还不信，换了奶粉就好了。京东真坑，我还信京东的自营店呢，跟**一个鸟样。假货横行,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-17,没诚信，每桶都是不满的，欺骗消费者，垃圾,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-17,孩子喝了上火，第二天眼睛都被眼屎糊住了，国产的还是不行,1,差评
贝因美(Beingmate) 金装爱+ 幼儿配方奶粉 3段(12-36个月幼儿适用) 1000克,2017-12-15,很失望很失望很失望透顶,1,差评
